# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
teng tong 	疼痛	c=1 d=1 t=898
ti gong 	提供	c=2 d=1.01062 t=1532
tian 	天	c=1 d=1 t=1055
tian cai 	天才	c=1 d=1 t=1454
tian shi 	天使	c=1 d=1 t=1057
tiao qi lai 	跳起來	c=1 d=1 t=1174
tiao xing 	條形	c=1 d=1 t=1800
tiao xing ma 	條形碼	c=1 d=1 t=1850
tiao xing tu 	條形圖	c=1 d=1 t=112
tiao zhan 	挑戰	c=2 d=1.9802 t=841
ting 	挺	c=1 d=1 t=1064
ting 	聽	c=1 d=0.151558 t=819
ting gu shu 	聽古樹	c=1 d=1 t=217
ting hai pa 	聽害怕	c=1 d=1 t=820
ting le 	聽了	c=1 d=1 t=1464
ting shu 	聽書	c=1 d=1 t=215
tong 	痛	c=1 d=1 t=331
tong 	通	c=1 d=1 t=1660
tong chang 	通常	c=1 d=1 t=1947
tong ji 	統計	c=1 d=1 t=102
tong qi 	通氣	c=1 d=1 t=139
tou 	頭	c=2 d=1.03175 t=1520
tou ru 	投入	c=1 d=1 t=950
tou yun 	頭暈	c=2 d=1.97531 t=137
